name,category,instructions,glass,alcohol,Ingrediants
Silver Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 2 oz  Gin', 'Ingrediant 4': ' 1 oz  Egg White', 'Ingrediant 5': '  Carbonated Water'}"
Sherry Twist Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Top with pinch of cinnamon and a twist of orange peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Cream sherry', 'Ingrediant 2': ' 1/2 oz  Brandy', 'Ingrediant 3': ' 1/2 oz  Dry Vermouth', 'Ingrediant 4': ' 1/2 oz  Triple Sec', 'Ingrediant 5': ' 1/2 oz  Lemon Juice'}"
Sherry Sangaree,Cocktail Classics,"In an old-fashioned glass, dissolve powdered sugar in water, add sherry, and stir. Add ice cubes and a splash of carbonated water, leaving enough room on which to float port. Add port. Sprinkle lightly with nutmeg.",Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Powdered Sugar', 'Ingrediant 2': ' 1 oz  Water', 'Ingrediant 3': ' 2 oz  Cream sherry', 'Ingrediant 4': ' 1 oz  Carbonated Water', 'Ingrediant 5': '  Port'}"
Sherry Milk Punch,Cocktail Classics,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Powdered Sugar', 'Ingrediant 2': ' 2 oz  Cream sherry', 'Ingrediant 3': ' 16 Milk'}"
Petit Zinc,Vodka,Shake with ice and strain into chilled cocktail glass. Garnish with orange.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Vodka', 'Ingrediant 2': ' 1/2 oz  Triple Sec', 'Ingrediant 3': ' 1/2 oz  Sweet Vermouth', 'Ingrediant 4': ' 1/2 oz  Orange juice', 'Ingrediant 5': '  Orange wedge'}"
Sherry-And-Egg Cocktail,Cocktail Classics,"Place an egg in a cocktail glass, being careful not to break the yolk. Add 2 oz. cream sherry.",Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 egg cream sherry', 'Ingrediant 2': ' 2 oz'}"
Americana,Whiskies,Stir first three ingredients in ice-filled Collins glass. Fill with sparkling wine. Garnish with peach.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Tennessee whiskey', 'Ingrediant 2': ' 1/2 oz  Simple Syrup', 'Ingrediant 3': ' 2 oz  Angostura Bitters', 'Ingrediant 4': '  Peach slice  Chilled American sparkling wine'}"
Sevilla Cocktail,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Powdered Sugar', 'Ingrediant 2': ' 1 oz  Whole Egg', 'Ingrediant 3': ' 1 oz  Port', 'Ingrediant 4': ' 1 oz  Light Rum'}"
September Morn Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Egg White', 'Ingrediant 2': ' 1 oz  Light Rum', 'Ingrediant 3': ' 1/2 oz  Juice of a Lime', 'Ingrediant 4': ' 1 oz  Grenadine'}"
Peach Iced Tea,Vodka,Shake with ice and strain into ice-filled Collins glass. Garnish with peach and lemon.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Peach-flavored vodka', 'Ingrediant 2': ' 1/2 oz  Orange curacao', 'Ingrediant 3': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 4': ' 1/2 oz  Honey Syrup', 'Ingrediant 5': ' 2 oz  Iced tea', 'Ingrediant 6': '  Peach slice', 'Ingrediant 7': ' lemon wheel'}"
Fantasio Cocktail,Brandy,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Brandy', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 1 oz  White creme de menthe', 'Ingrediant 4': ' 1 oz  Maraschino liqueur'}"
Scotch Bird Flyer,Cocktail Classics,Shake with ice and strain into champagne flute.,Champagne Flute,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Scotch', 'Ingrediant 2': ' 1 oz  Egg Yolk', 'Ingrediant 3': ' 1/2 oz  Triple Sec', 'Ingrediant 4': ' 1/2 oz  Powdered Sugar', 'Ingrediant 5': ' 1 oz  Light cream'}"
Savannah,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of Orange', 'Ingrediant 2': ' 1 oz  Gin', 'Ingrediant 3': ' 1 oz  White creme de cacao', 'Ingrediant 4': ' 1 oz  Egg White'}"
Pink Rose Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 1 oz  Egg White', 'Ingrediant 4': ' 2 oz  Light cream', 'Ingrediant 5': ' 2 oz  Gin'}"
Ninotchka Cocktail,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vodka', 'Ingrediant 2': ' 1/2 oz  White creme de cacao', 'Ingrediant 3': ' 1/4 oz  Fresh lemon juice'}"
Prairie Oyster,Cocktail Classics,Shake with ice and strain into old-fashioned glass over two ice cubes.  Place an egg yolk on top without breaking it. Add a dash of cayenne pepper.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 oz Brandy', 'Ingrediant 2': ' 1 oz  Worcestershire Sauce', 'Ingrediant 3': ' 1 oz  Catsup', 'Ingrediant 4': ' 1 oz  Vinegar', 'Ingrediant 5': ' 1 oz  Pepper'}"
Prairie Chicken,Cocktail Classics,Open egg without breaking the yolk and put in wine glass. Pour gin on top. Add pepper and salt.,Red-Wine Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1 oz  Whole Egg', 'Ingrediant 3': '  Pepper and Salt'}"
Pousse L'Amour,Cocktail Classics,"Pour carefully, in order given, into 2-oz. sherry glass, so that each ingredient floats on preceding one",Sherry Glass,Alcoholic,"{'Ingrediant 1': '1 oz Maraschino', 'Ingrediant 2': ' 1 oz  Egg Yolk', 'Ingrediant 3': ' 1/2 oz  Benedictine', 'Ingrediant 4': ' 1/2 oz  Brandy'}"
Puerto Apple,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with a slice of lime.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Applejack', 'Ingrediant 2': ' 3/4 oz  Light Rum', 'Ingrediant 3': ' 1 oz  Lime Juice', 'Ingrediant 4': ' 1 oz  Orgeat Syrup'}"
Akogare,Whiskies,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Straight rye whiskey', 'Ingrediant 2': ' 3/4 oz  Ginger syrup', 'Ingrediant 3': ' 3/4 oz  Cold brewed black tea', 'Ingrediant 4': ' 3/4 oz preferably Japanese', 'Ingrediant 5': '  Orange twist  Fresh lemon juice'}"
Prado,Cocktail Classics,Shake with ice and strain into sour glass. Add a slice of lime and a cherry.,Sour Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Tequila', 'Ingrediant 2': ' 3/4 oz  Lemon Juice', 'Ingrediant 3': ' 1 oz  Maraschino', 'Ingrediant 4': ' 1/2 oz  Egg White', 'Ingrediant 5': ' 1 oz  Grenadine'}"
Port Wine Cobbler,Cocktail Classics,Dissolve 1 teaspoon powdered sugar in 2 oz. carbonated water; then fill goblet with shaved ice and add 3 oz. port. Stir and decorate with fruits in season. Serve with straws.,Red-Wine Glass,Alcoholic,"{'Ingrediant 1': '1 tsp powdered sugar', 'Ingrediant 2': ' 2 oz  carbonated water', 'Ingrediant 3': ' 3 oz shaved ice', 'Ingrediant 4': ' fruits in season  port'}"
Nijinksy Blini,Vodka,Shake first four ingredients with ice. Strain into chilled champagne flute and top with Champagne.,Champagne Flute,Alcoholic,"{'Ingrediant 1': '1 oz Vodka', 'Ingrediant 2': ' 1 oz  Peach schnapps', 'Ingrediant 3': ' 1 oz  Peach puree', 'Ingrediant 4': ' 1/4 oz  Fresh lemon juice', 'Ingrediant 5': '  Chilled Champagne'}"
Affinity Cocktail (Whisky),Whiskies,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Blended Scotch Whiskey', 'Ingrediant 2': ' 1 oz  Dry Vermouth', 'Ingrediant 3': ' 1 oz  Sweet Vermouth', 'Ingrediant 4': ' 3 oz  Orange Bitters'}"
Plain Vermouth Cocktail,Cocktail Classics,See Vermouth Cocktail on page 189.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Dry Vermouth', 'Ingrediant 2': ' 1 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 oz  Orange Bitters'}"
Ping-Pong Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1/4 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Egg White', 'Ingrediant 3': ' 2 oz  Sloe gin'}"
Moscow Mule,Vodka,Pour vodka and lime juice into copper Moscow Mule mug or standard beer mug. Add ice cubes and fill with ginger beer. Squeeze lime wedge and add to glass.,Beer Mug,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vodka', 'Ingrediant 2': ' 1/2 oz  Fresh Lime Juice', 'Ingrediant 3': '  Ginger beer', 'Ingrediant 4': '  Lime wedge'}"
Phoebe Snow,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Dubonnet', 'Ingrediant 2': ' 1 1/2 oz  Brandy', 'Ingrediant 3': ' 1/2 oz  Anis'}"
Affinity Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Straight rye whiskey', 'Ingrediant 2': ' 3/4 oz  Maraschino liqueur', 'Ingrediant 3': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 4': ' 2 oz  Orange Bitters', 'Ingrediant 5': '  Orange twist', 'Ingrediant 6': ' flamed'}"
Peggy Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Dry Vermouth', 'Ingrediant 2': ' 1 1/2 oz  Gin', 'Ingrediant 3': ' 1/4 oz  Anis', 'Ingrediant 4': ' 1/4 oz  Dubonnet'}"
Peach Blow Fizz,Cocktail Classics,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 1 oz  Light cream', 'Ingrediant 4': ' 2 oz  Gin', 'Ingrediant 5': ' 1/4 oz  Peach'}"
Peach Blossom,Cocktail Classics,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1 oz Lemon Juice', 'Ingrediant 2': ' 1/2 oz  Powdered Sugar', 'Ingrediant 3': ' 2 oz  Gin', 'Ingrediant 4': ' 1/2 oz  Peach'}"
Passion Mimosa,Cocktail Classics,"Pour chilled juice into champagne flute, fill with chilled champagne. Garnish with strawberry.",Champagne Flute,Alcoholic,"{'Ingrediant 1': '2 oz Chilled Passion Fruit Juice', 'Ingrediant 2': '  Chilled Champagne'}"
Mocha Express,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vodka', 'Ingrediant 2': ' 3/4 oz  Irish cream liqueur', 'Ingrediant 3': ' 3/4 oz  Coffee liqueur', 'Ingrediant 4': ' 3/4 oz  Cold brewed espresso coffee'}"
Palmer Cocktail,Cocktail Classics,Stir with ice and strain in cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Blended whiskey', 'Ingrediant 2': ' 1 oz  Bitters', 'Ingrediant 3': ' 1/2 oz  Lemon Juice'}"
Mr. 404,Vodka,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vodka', 'Ingrediant 2': ' 3/4 oz  Elderflower liqueur', 'Ingrediant 3': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 4': ' 1/2 oz  Simple Syrup', 'Ingrediant 5': ' 1/2 oz  Aperol', 'Ingrediant 6': '  Orange twist'}"
Mountain Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Egg White', 'Ingrediant 2': ' 1/4 oz  Lemon Juice', 'Ingrediant 3': ' 1/4 oz  Dry Vermouth', 'Ingrediant 4': ' 1/4 oz  Sweet Vermouth', 'Ingrediant 5': ' 1 1/2 oz  Blended whiskey'}"
Morning Glory Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 1 oz  Egg White', 'Ingrediant 4': ' 1/2 oz  Anis', 'Ingrediant 5': ' 2 oz  Scotch'}"
Adderly Cocktail,Whiskies,Shake with ice and strain into cocktail glass. Flame orange twist and add.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Straight rye whiskey', 'Ingrediant 2': ' 3/4 oz  Maraschino liqueur', 'Ingrediant 3': ' 2 oz  Orange Bitters', 'Ingrediant 4': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 5': '  Orange twist', 'Ingrediant 6': ' flamed'}"
Fancy Brandy,Brandy,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Brandy', 'Ingrediant 2': ' 1/4 oz  Triple Sec', 'Ingrediant 3': ' 1/4 oz  Simple Syrup', 'Ingrediant 4': ' 1 oz  Angostura Bitters', 'Ingrediant 5': '  Lemon twist'}"
Montreal Gin Sour,Cocktail Classics,Shake with ice and strain into sour glass. Add a slice of lemon.,Sour Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1 oz  Lemon Juice', 'Ingrediant 3': ' 1/2 oz  Egg White', 'Ingrediant 4': ' 1 oz  Powdered Sugar'}"
Montezuma,Cocktail Classics,Mix in blender at low speed and serve in champagne flute.,Champagne Flute,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Tequila', 'Ingrediant 2': ' 1 oz  Madeira', 'Ingrediant 3': ' 1 oz  Egg Yolk', 'Ingrediant 4': ' 1/2 oz  Crushed ice'}"
Miss Jones,Vodka,Shake with ice and strain into chilled cocktail glass. Garnish with star anise.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vanilla-flavored vodka', 'Ingrediant 2': ' 1 oz  Fresh lemon juice', 'Ingrediant 3': ' 1/2 oz  Butterscotch schnapps', 'Ingrediant 4': ' 1/2 oz  Limoncello', 'Ingrediant 5': '  Star anise pod'}"
Mint Gin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Mint-Flavored Gin', 'Ingrediant 2': ' 1 oz  White Port Wine', 'Ingrediant 3': ' 1 1/2 oz  Dry Vermouth'}"
Mint Collins,Cocktail Classics,"Shake with ice and strain into collins glass. Add several ice cubes, fill with carbonated water, and stir. Decorate with slices of lemon and orange, and a cherry. Serve with straws.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 2 oz  Mint-Flavored Gin'}"
Million-Dollar Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Pineapple Juice', 'Ingrediant 2': ' 1 oz  Grenadine', 'Ingrediant 3': ' 1 oz  Egg White', 'Ingrediant 4': ' 3/4 oz  Sweet Vermouth', 'Ingrediant 5': ' 1 1/2 oz  Gin'}"
Millionaire Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Egg White', 'Ingrediant 2': ' 1/4 oz  Grenadine', 'Ingrediant 3': ' 1/2 oz  Triple Sec', 'Ingrediant 4': ' 1 1/2 oz  Blended whiskey'}"
Academic Review,Whiskies,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Irish Whiskey', 'Ingrediant 2': ' 1/2 oz  Applejack', 'Ingrediant 3': ' 1/2 oz  Amaro Nonino', 'Ingrediant 4': ' 1/2 oz  Rye Whiskey', 'Ingrediant 5': ' 1/4 oz  Demerara Syrup', 'Ingrediant 6': ' 2 oz  Mole bitters 1 oz'}"
Milk Punch,Cocktail Classics,Shake with ice and strain into collins glass. Sprinkle nutmeg on top.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Powdered Sugar', 'Ingrediant 2': ' 2 oz  Blended whiskey', 'Ingrediant 3': ' 1 oz  Milk'}"
Merry Widow Fizz,Cocktail Classics,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of Orange', 'Ingrediant 2': ' 1/2 oz  Juice of a Lemon', 'Ingrediant 3': ' 1 oz  Egg White', 'Ingrediant 4': ' 1 oz  Powdered Sugar', 'Ingrediant 5': ' 1 1/2 oz  Sloe gin'}"
May Blossom Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1 oz Grenadine', 'Ingrediant 2': ' 1/2 oz  Juice of a Lemon', 'Ingrediant 3': ' 2 oz  Swedish Punch'}"
Mary Garden Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Dubonnet', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth'}"
19Th Century,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Bourbon whiskey', 'Ingrediant 2': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 3': ' 3/4 oz  White creme de cacao', 'Ingrediant 4': ' 3/4 oz  Lillet Rouge'}"
Manila Fizz,Cocktail Classics,Lemon Shake with ice and strain into highball glass over two ice cubes.,Highball Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 1 oz  Whole Egg', 'Ingrediant 3': ' 1 oz  Powdered Sugar', 'Ingrediant 4': ' 2 oz  Root Beer', 'Ingrediant 5': ' 1/2 oz  Juice of a Lime'}"
1626,Whiskies,Shake well with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 1/2 oz Bourbon whiskey', 'Ingrediant 2': ' 3/4 oz  Gingerbread liqueur', 'Ingrediant 3': ' 1/2 oz  cherry-flavored brandy', 'Ingrediant 4': ' 2 oz  Angostura Bitters', 'Ingrediant 5': ' 1 oz  Italian preserved cherry'}"
Maracuya Mosquito,Vodka,Muddle 4 basil leaves in mixing glass. Add remaining ingredients. Shake with ice. Double-strain through wire sieve into crushed ice- filled Collins glass. Garnish with a basil leaf.,Collins Glass,Alcoholic,"{'Ingrediant 1': '4 oz Fresh basil leaves', 'Ingrediant 2': ' 1 1/2 oz  Vodka', 'Ingrediant 3': ' 1/2 oz  Green Chartreuse', 'Ingrediant 4': ' 1/2 oz  Fresh Lime Juice', 'Ingrediant 5': ' 1/2 oz  Simple Syrup', 'Ingrediant 6': ' 1 oz  Passion Fruit Juice', 'Ingrediant 7': ' basil leaf'}"
Madras,Vodka,Build in order given into ice-filled highball glass. Squeeze lime and add.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vodka', 'Ingrediant 2': ' 4 oz  Cranberry Juice', 'Ingrediant 3': ' 1 oz  Orange juice', 'Ingrediant 4': '  Lime wedge'}"
Absinthe Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Absinthe Substitute', 'Ingrediant 2': ' 2 oz  Water', 'Ingrediant 3': ' 1 1/2 oz  Old Mr. Boston Anisette ', 'Ingrediant 4': ' 1 oz  Orange Bitters'}"
Lychee Lucy,Vodka,Shake with ice and strain into chilled cocktail glass. Add lycheepineapple garnish.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vodka', 'Ingrediant 2': ' 1/2 oz  Lychee liqueur', 'Ingrediant 3': ' 1/2 oz  Fresh orange juice', 'Ingrediant 4': ' 1/2 oz  Pineapple Juice', 'Ingrediant 5': ' 2 oz  Angostura Bitters', 'Ingrediant 6': '  Canned pitted lychee nut stuffed with a small pineapple leaf'}"
The Loop,Vodka,Shake ingredients with ice. Pour into chilled old-fashioned glass. Garnish with chocolate grated on top.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '2 oz Black cherry-flavored vodka', 'Ingrediant 2': ' 1/2 oz  White creme de cacao', 'Ingrediant 3': ' 1/2 oz  Chile Syrup', 'Ingrediant 4': '  Grated bittersweet chocolate'}"
Long Island Iced Tea,Vodka,"Shake ingredients, except cola, with ice and pour with ice into highball glass. Add cola for color. Add lemon.",Highball Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Vodka', 'Ingrediant 2': ' 3/4 oz  Blanco tequila', 'Ingrediant 3': ' 3/4 oz  Gin', 'Ingrediant 4': ' 3/4 oz  Light Rum', 'Ingrediant 5': ' 3/4 oz  Triple Sec', 'Ingrediant 6': ' 1/2 oz  Simple Syrup', 'Ingrediant 7': ' 1/2 oz'}"
Fallen Leaves,Brandy,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Calvados', 'Ingrediant 2': ' 3/4 oz  Sweet Vermouth', 'Ingrediant 3': ' 1/4 oz  Dry Vermouth', 'Ingrediant 4': ' 1 oz  Brandy', 'Ingrediant 5': '  Lemon twist'}"
L'Italienne,Vodka,Stir and strain into chilled cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Vodka', 'Ingrediant 2': ' 1/4 oz  Lillet Blanc', 'Ingrediant 3': ' 1/4 oz  Ramazzotti Amaro', 'Ingrediant 4': ' 1 oz  Orange Bitters'}"
Rum Dubonnet,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Light Rum', 'Ingrediant 2': ' 1 1/2 oz  Dubonnet', 'Ingrediant 3': ' 1 oz  Lemon Juice'}"
Ruby Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lemon', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 1 oz  Egg White', 'Ingrediant 4': ' 1 oz  Grenadine', 'Ingrediant 5': ' 2 oz  Sloe gin'}"
Limoncello Manzanilla Marmalade Sour,Vodka,Shake with ice and double-strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Citrus-flavored vodka', 'Ingrediant 2': ' 3/4 oz  Limoncello', 'Ingrediant 3': ' 3/4 oz  Manzanilla sherry', 'Ingrediant 4': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 5': ' 1 oz  Grapefruit marmalade', 'Ingrediant 6': '  Orange twist'}"
Royal Purple Punch,Cocktail Classics,Pour two bottles (750-ml size) claret or red wine and two large bottles ginger ale over ice cubes in punch bowl. Stir well. Float thin slices of lemon studded with cloves on top. Serve in punch glasses.,Punch Cup,Alcoholic,"{'Ingrediant 1': ' 2 bottles red wine', 'Ingrediant 2': ' ginger ale', 'Ingrediant 3': ' lemon', 'Ingrediant 4': ' whole cloves'}"
Royal Cocktail,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,Alcoholic,"{'Ingrediant 1': '1 oz Whole Egg', 'Ingrediant 2': ' 1/2 oz  Juice of a Lemon', 'Ingrediant 3': ' 1/2 oz  Powdered Sugar', 'Ingrediant 4': ' 1 1/2 oz  Gin'}"
Royal Clover Club Cocktail,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,Alcoholic,"{'Ingrediant 1': '1 oz Juice of a Lime', 'Ingrediant 2': ' 1 oz  Grenadine', 'Ingrediant 3': ' 1 oz  Egg Yolk', 'Ingrediant 4': ' 1 1/2 oz  Gin'}"
Lights On The Plaza,Vodka,"Muddle cucumbers, lemon juice, and syrup in mixing glass. Add vodka, raspberry liqueur, and ice and shake. Double-strain into chilled cocktail glass. Top with sparkling wine. Garnish with raspberry-cucumber skewer.",Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2Cucumber slices', 'Ingrediant 2': ' 1/2 oz chopped', 'Ingrediant 3': ' 1/2 oz  Fresh lemon juice', 'Ingrediant 4': ' 1 1/2 oz  Simple Syrup', 'Ingrediant 5': ' 1/2 oz  Acai berry flavored vodka', 'Ingrediant 6': ' 1 oz  Black raspberry liqueur', 'Ingrediant 7': '  Sparkling wine', 'Ingrediant 8': ' raspberry and cucumber'}"
Rococo,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Cherry Vodka', 'Ingrediant 2': ' 1 oz  Orange Juice', 'Ingrediant 3': ' 1/2 oz  Triple Sec'}"
Rock & Rye Cooler,Cocktail Classics,Shake with ice and strain into collins glass over ice.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Rock and Rye', 'Ingrediant 2': ' 1 1/2 oz  Vodka', 'Ingrediant 3': ' 1 oz  Lime Juice', 'Ingrediant 4': '  Bitter lemon soda'}"
Rock & Rye Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Rock and Rye', 'Ingrediant 2': ' 1 oz  White Port Wine', 'Ingrediant 3': ' 1 1/2 oz  Dry Vermouth'}"
Le Paradini,Vodka,Shake first three ingredients with ice and strain into chilled cocktail glass. Top with Champagne.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Vodka', 'Ingrediant 2': ' 1/2 oz  Raspberry-flavored liqueur', 'Ingrediant 3': ' 1/2 oz  Grand Marnier', 'Ingrediant 4': ' 1 oz  Chilled Champagne'}"
Red Swizzle,Cocktail Classics,"Make the same as Gin Swizzle (see page 99) and add one tablespoon of grenadine. If desired, rum, brandy, or whiskey may be substituted for the gin.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Juice of a Lime', 'Ingrediant 2': ' 1 oz  Powdered Sugar', 'Ingrediant 3': ' 2 oz  Carbonated Water', 'Ingrediant 4': ' 2 oz  Gin', 'Ingrediant 5': ' 2 oz  Bitters', 'Ingrediant 6': ' 1 oz  Grenadine'}"
